id_loan,loan_identifier
F99Q10349925,2001SLST00641
F99Q10350759,2003SCRT00862
F99Q10351100,1803SCRT00731
F99Q10351232,2002SCRT00660
F99Q10351964,2101SCRT01312
F99Q10353182,1903SCRT01181
F99Q10353317,1804SCRT00661
F99Q10353379,1804SCRT00662
F99Q10361199,1903SLST00783
F99Q10361518,1802SLST01629
F99Q10364919,1802SLST00710
F99Q10364959,2002SLST00734
F99Q10365768,2002SLST00735
F99Q10367609,2002SLST00736
F99Q10368357,1903SCRT01285
F99Q10368506,2003SCRT00906
F99Q10371005,1904SCRT00741
F99Q10374957,1801SCRT01675
F99Q10375566,1903SCRT01315
F99Q10383729,2101SLST00838
F99Q10384886,1801SCRT01679
F99Q10386487,2001SCRT00917
F99Q10386950,1901SLST00643
F99Q10387945,1802SLST05744
F99Q10388907,2001SCRT00918
F99Q10389030,2201SCRT00652
F99Q10390044,2101SCRT01480
F99Q10390119,2001SCRT00919
F99Q10393062,2002SLST00775
F99Q10393674,2102SLST00400
F99Q10394189,2501SCRT00801
F99Q10394478,2201SCRT00653
F99Q10394948,1704SCRT00595
F99Q10395021,1704SCRT00596
F99Q10395565,1704SCRT00597
F99Q10395737,1902SCRT00748
F99Q10395823,1804SCRT00724
F99Q10395925,1803SCRT00779
F99Q10395968,1902SCRT00749
F99Q10397962,1804SCRT00725
F99Q10398590,2501SCRT00802
F99Q10400247,1901SCRT00570
F99Q10400635,1803SCRT00813
F99Q10402439,1804SCRT00752
F99Q10402491,2003SCRT00982
F99Q10403337,2101SLST00891
F99Q10404010,2101SLST00892
F99Q10407565,2401SCRT00648
F99Q10408430,2101SCRT01569
F99Q10409106,1903SCRT01400
F99Q10410489,2101SCRT01571
F99Q10416974,2002SLST00826
F99Q10426761,2101SCRT01595
F99Q10427498,2102SCRT00942
F99Q10427993,2003SCRT00997
F99Q10429174,1902SLST00564
F99Q10429428,2102SCRT00944
F99Q10430078,1904SCRT00790
F99Q10433779,1903SCRT01473
F99Q10434053,1901SCRT00619
F99Q10434460,2001SLST00792
F99Q10436381,2102SCRT00960
F99Q10438360,2501SCRT00842
F99Q10439039,2301SCRT00706
F99Q10442635,2101SCRT06836
F99Q10442914,2002SLST07990
F99Q10443214,2301SCRT01719
F99Q10445821,2003SCRT07236
F99Q10446743,2003SLST02658
F99Q10450123,1804SCRT08321
F99Q10450462,2102SCRT05929
F99Q10451139,2001SCRT08248
F99Q10455250,1803SCRT09651
F99Q10455307,2102SCRT05931
F99Q10456192,2101SLST04456
F99Q10456894,1801SCRT09510
F99Q10457423,1804SCRT08322
F99Q10459128,1803SCRT09652
F99Q10461226,2001SCRT08249
F99Q10461687,2101SCRT07128
F99Q10462208,1904SCRT09321
F99Q10462227,2101SCRT07129
F99Q10467479,1802SLST08465
F99Q10467647,1804SCRT08324
F99Q10474779,2102SLST03891
F99Q10474783,2001SLST05078
F99Q10476620,2002SLST08000
F99Q10476926,2003SCRT07248
F99Q10476965,1804SCRT08326
F99Q10477424,2301SCRT01722
F99Q10477855,2003SCRT07249
F99Q10478689,2002SLST08001
F99Q10479010,2003SCRT07250
F99Q10479030,2003SCRT07251
F99Q10483527,1903SLST06308
F99Q10485408,1704SCRT09356
F99Q10485959,2101SLST05143
F99Q10486214,2101SCRT08463
F99Q10487091,2101SCRT08464
