loan_age,n,upb_observado,upb_teorico,desvio_rel_medio,error_abs_pct,smm,smm_mensual,cpr_anual
69,49454,158153.9223551179,165558.8012580226,-0.05174690793229176,4.472657959974143,0.044726579599741426,0.0006629348773729005,0.007926276674604438
70,47902,157383.65461066345,164825.64511033503,-0.05233672900122855,4.515068328529748,0.04515068328529748,0.000659807010064406,0.007889014431534114
71,46600,156684.73228519314,164209.1885827929,-0.053282621623310704,4.582238279440739,0.045822382794407396,0.0006604218719791222,0.007896339374934391
72,45155,156054.1619705459,163620.32837666522,-0.05383987223862494,4.624221501805995,0.04624221501805995,0.0006573607037098084,0.007859870721290907
73,43947,155523.11366213846,163175.26335965164,-0.05473757623279999,4.689528020339216,0.04689528020339216,0.0006577356107794197,0.007864337172332592
74,42920,155217.6138699907,162934.15873896418,-0.05551133892281663,4.735989634522323,0.04735989634522323,0.000655435005152194,0.007836928643293106
75,41956,154938.15194537136,162726.37022917095,-0.05599246822001246,4.786082472577298,0.04786082472577298,0.0006537070718484195,0.007816342255243747
76,40947,154750.09624416928,162640.8530571498,-0.05685779505091323,4.85164499857106,0.0485164499857106,0.0006541659515715281,0.00782180933085741
77,39779,154590.20789864,162493.2773060417,-0.057354066861265096,4.863628538008371,0.0486362853800837,0.0006473077389246296,0.007740097967762427
78,38797,154271.88508647576,162234.1242784697,-0.05791458889071034,4.9078695542049005,0.049078695542049,0.0006449710214300186,0.007712256014761998
79,37632,153913.6283468856,161957.75530201077,-0.05873101345377051,4.966805658750254,0.04966805658750254,0.0006446521389220639,0.007708456479054715
80,36587,153458.95231011015,161595.1417972368,-0.05956735143184145,5.034922087778867,0.05034922087778867,0.0006455535767370124,0.007719197219293594
81,35571,153013.6496449355,161256.50544308612,-0.06047406226093537,5.11164233374749,0.0511164233374749,0.0006475577490643314,0.0077430767923233335
82,34522,152701.42868257922,160953.25575677535,-0.06077422814957298,5.126846944100272,0.05126846944100272,0.0006416162419832228,0.007672282617177673
83,33499,152396.9570957342,160729.17748527759,-0.06144928887155989,5.184012336718767,0.051840123367187664,0.0006411455193918725,0.007666673670970181
84,32185,151989.40299145563,160384.97632597687,-0.06219026684478146,5.234638260292863,0.05234638260292863,0.0006398693151660195,0.007651466774583726
85,31043,151697.97708919883,160141.7848759262,-0.0629203248605302,5.272707428151516,0.05272707428151516,0.0006370678916882699,0.007618085038549105
86,29844,151261.82411271948,159822.1605090371,-0.06375926783391965,5.3561636065066,0.053561636065066004,0.0006399048297687226,0.007651889959650937
87,28700,150834.64417003485,159439.95750767225,-0.06412806980797323,5.3972125131953295,0.05397212513195329,0.0006375351286433961,0.007623652701271633
88,27413,150618.35678145406,159290.4354622503,-0.06473040969666392,5.444192964650031,0.05444192964650031,0.0006359337896605366,0.007604570796659327
89,25794,150316.97892688224,159035.94591566807,-0.06532975206768837,5.4823876065158474,0.054823876065158476,0.0006333273895564595,0.007573511645259212
90,24428,149843.37315212053,158601.92689758827,-0.06592778426570349,5.5223501484463515,0.05522350148446351,0.0006309884981821057,0.007545639501485013
91,23104,149186.1478003809,158024.75677586763,-0.06700876480023418,5.593179926878716,0.05593179926878716,0.0006322930833598805,0.007561186094635852
92,21967,148478.15877862248,157326.93167765846,-0.06784729390246472,5.6244489132769155,0.05624448913276915,0.000629020986629869,0.007522192467917632
93,20768,147505.50804651386,156393.74848452554,-0.0688752051438521,5.68324534972773,0.056832453497277294,0.0006289562983664565,0.007521421562737718
94,19634,146949.98736732197,155974.01628596828,-0.07003451796247387,5.785597584472872,0.05785597584472872,0.0006338110165458044,0.007579274850741835
95,18709,146644.22431343203,155734.09712037508,-0.07060474774119323,5.836790385034955,0.058367903850349546,0.0006328589949233798,0.007567929928935513
96,17567,146987.4267461718,156141.27535245358,-0.07143468398439289,5.862542486359886,0.05862542486359886,0.0006291161680013202,0.007523326765607186
97,16573,146988.33463766365,156256.23599827095,-0.0722065822884061,5.931220153485492,0.05931220153485492,0.0006301515853252004,0.007535665988634532
98,15283,147146.504802722,156388.61763287443,-0.07178929689723161,5.9097093957621,0.059097093957621,0.0006213918193208601,0.00743127010983935
99,13936,146527.39329075775,155865.56400387044,-0.0726160530683836,5.99116987308422,0.059911698730842206,0.0006238605766990535,0.007460692929932344
100,12449,146031.33967627923,155309.3023980775,-0.07260578030884594,5.973861564336745,0.059738615643367445,0.0006157840661974445,0.007364433552015104
101,10935,145036.3764700503,154412.34749511498,-0.07313956333271995,6.0720345083551654,0.060720345083551654,0.0006200257446654645,0.007414988794607669
102,9529,143434.65000209885,152807.70094853046,-0.07393689612714026,6.1338865045739395,0.06133886504573939,0.0006204029954191004,0.007419485014372951
103,8134,141174.47479591836,150476.97857066442,-0.07473990720685396,6.18201127049981,0.061820112704998105,0.0006193573506816374,0.007407022571860322
104,6930,138730.16014141415,148077.18280788846,-0.07662528952261505,6.3122639756058145,0.06312263975605814,0.0006267543809764797,0.007495180470352469
105,5577,135825.1352716514,145124.2757107031,-0.07712515046189959,6.407708423357785,0.06407708423357784,0.0006304884047584336,0.007539679885856243
106,4377,132078.82419008453,141525.59276397308,-0.07981887169864407,6.674954253428379,0.06674954253428379,0.0006515015580143002,0.0077900654617757414
107,3296,129782.70247876213,138961.7478649731,-0.07902785499286547,6.605447561821178,0.06605447561821177,0.0006384612139226364,0.007634687981963206
108,1862,125144.19929108486,133393.35268495866,-0.07712993718636546,6.184081311275092,0.061840813112750914,0.0005908960515682571,0.007067753510598962
109,879,125405.52221843004,133730.765051664,-0.07511860098008186,6.2253759110835,0.062253759110835,0.0005895133125362051,0.00705126804995182
